no.,name,count 0,√,3√,-ple
1,Million,6,1,1,Single
2,Billion,9,4,8,Double
3,Trillion,12,9,27,Triple
4,Quadrillion,15,16,64,Quadruple
5,Quintillion,18,25,125,Quintuple
6,Sextillion,21,36,216,Sextuple
7,Septillion,24,49,343,Septuple
8,Octillion,27,64,512,Octuple
9,Nonillion,30,81,729,Nonuple
10,Decillion,33,100,"1,000",Decuple
11,Undecillion,36,121,"1,331",Undecuple
12,Duodecillion,39,144,"1,728",Duodecuple
13,Tredecillion,42,169,"2,197",Tredecuple
14,Quattuordecillion,45,196,"2,744",Quattuordecuple
15,Quindecillion,48,225,"3,375",Quindecuple
16,Sedecillion,51,256,"4,096",Sedecuple
17,Septendecillion,54,289,"4,913",Septendecuple
18,Octodecillion,57,324,"5,832",Octodecuple
19,Novemdecillion,60,361,"6,859",Novemdecuple
20,Vigintillion,63,400,"8,000",Viguple
21,Unvigintillion,66,441,"9,261",Unviguple
22,Duovigintillion,69,484,"10,648",Duoviguple
23,Tresvigintillion,72,529,"12,167",Tresviguple
24,Quattuorvigintillion,75,576,"13,824",Quattuorviguple
25,Quinvigintillion,78,625,"15,625",Quinviguple
26,Sexvigintillion,81,676,"17,576",Sexviguple
27,Septenvigintillion,84,729,"19,683",Septenviguple
28,Octovigintillion,87,784,"21,952",Octoviguple
29,Novemvigintillion,90,841,"24,389",Novemviguple
30,Trigintillion,93,900,"27,000",Triguple
31,Untrigintillion,96,961,"29,791",Untriguple
32,Duotrigintillion,99,"1,024","32,768",Duotriguple
33,Trestrigintillion,102,"1,089","35,937",Trestriguple
34,Quattuortrigintillion,105,"1,156","39,304",Quattuortriguple
35,Quintrigintillion,108,"1,225","42,875",Quintriguple
36,Sextrigintillion,111,"1,296","46,656",Sextriguple
37,Septentrigintillion,114,"1,369","50,653",Septentriguple
38,Octotrigintillion,117,"1,444","54,872",Octotriguple
39,Novemtrigintillion,120,"1,521","59,319",Novemtriguple
40,Quadragintillion,123,"1,600","64,000",Quadraguple
41,Unquadragintillion,126,"1,681","68,921",Unquadraguple
42,Duoquadragintillion,129,"1,764","74,088",Duoquadraguple
43,Tresquadragintillion,132,"1,849","79,507",Tresquadraguple
44,Quattuorquadragintillion,135,"1,936","85,184",Quattuorquadraguple
45,Quinquadragintillion,138,"2,025","91,125",Quinquadraguple
46,Sexquadragintillion,141,"2,116","97,336",Sexquadraguple
47,Septenquadragintillion,144,"2,209","103,823",Septenquadraguple
48,Octoquadragintillion,147,"2,304","110,592",Octoquadraguple
49,Novemquadragintillion,150,"2,401","117,649",Novemquadraguple
50,Quinquagintillion,153,"2,500","125,000",Quinquaguple
51,Unquinquagintillion,156,"2,601","132,651",Unquinquaguple
52,Duoquinquagintillion,159,"2,704","140,608",Duoquinquaguple
53,Tresquinquagintillion,162,"2,809","148,877",Tresquinquaguple
54,Quattuorquinquagintillion,165,"2,916","157,464",Quattuorquinquaguple
55,Quinquinquagintillion,168,"3,025","166,375",Quinquinquaguple
56,Sexquinquagintillion,171,"3,136","175,616",Sexquinquaguple
57,Septenquinquagintillion,174,"3,249","185,193",Septenquinquaguple
58,Octoquinquagintillion,177,"3,364","195,112",Octoquinquaguple
59,Novemquinquagintillion,180,"3,481","205,379",Novemquinquaguple
60,Sexagintillion,183,"3,600","216,000",Sexaguple
61,Unsexagintillion,186,"3,721","226,981",Unsexaguple
62,Duosexagintillion,189,"3,844","238,328",Duosexaguple
63,Tresexagintillion,192,"3,969","250,047",Tresexaguple
64,Quattuorsexagintillion,195,"4,096","262,144",Quattuorsexaguple
65,Quinsexagintillion,198,"4,225","274,625",Quinsexaguple
66,Sexsexagintillion,201,"4,356","287,496",Sexsexaguple
67,Septensexagintillion,204,"4,489","300,763",Septensexaguple
68,Octosexagintillion,207,"4,624","314,432",Octosexaguple
69,Novemsexagintillion,210,"4,761","328,509",Novemsexaguple
70,Septuagintillion,213,"4,900","343,000",Septuaguple
71,Unseptuagintillion,216,"5,041","357,911",Unseptuaguple
72,Duoseptuagintillion,219,"5,184","373,248",Duoseptuaguple
73,Treseptuagintillion,222,"5,329","389,017",Treseptuaguple
74,Quattuorseptuagintillion,225,"5,476","405,224",Quattuorseptuaguple
75,Quinseptuagintillion,228,"5,625","421,875",Quinseptuaguple
76,Sexseptuagintillion,231,"5,776","438,976",Sexseptuaguple
77,Septenseptuagintillion,234,"5,929","456,533",Septenseptuaguple
78,Octoseptuagintillion,237,"6,084","474,552",Octoseptuaguple
79,Novemseptuagintillion,240,"6,241","493,039",Novemseptuaguple
80,Octogintillion,243,"6,400","512,000",Octoguple
81,Unoctogintillion,246,"6,561","531,441",Unoctoguple
82,Duooctogintillion,249,"6,724","551,368",Duooctoguple
83,Tresoctogintillion,252,"6,889","571,787",Tresoctoguple
84,Quattuoroctogintillion,255,"7,056","592,704",Quattuoroctoguple
85,Quinoctogintillion,258,"7,225","614,125",Quinoctoguple
86,Sexoctogintillion,261,"7,396","636,056",Sexoctoguple
87,Septenoctogintillion,264,"7,569","658,503",Septenoctoguple
88,Octooctogintillion,267,"7,744","681,472",Octooctoguple
89,Novemoctogintillion,270,"7,921","704,969",Novemoctoguple
90,Nonagintillion,273,"8,100","729,000",Nonaguple
91,Unnonagintillion,276,"8,281","753,571",Unnonaguple
92,Duononagintillion,279,"8,464","778,688",Duononaguple
